season,id,name,description,home_team,away_team,1st_inning_score,2nd_inning_score,result
2017,1082650,Mumbai Indians v Rising Pune Supergiant,"Final (N), Indian Premier League at Hyderabad (Deccan), May 21 2017",MI,RPS,129/8,128/6,Mum Indians won by 1 run
2016,980901,Mumbai Indians v Rising Pune Supergiants,"1st match (N), Indian Premier League at Mumbai, Apr 9 2016",MI,RPS,121/8,126/1,Supergiants won by 9 wickets (with 32 balls remaining)
2016,980903,Kolkata Knight Riders v Delhi Daredevils,"2nd match (N), Indian Premier League at Kolkata, Apr 10 2016",KKR,DC,98,99/1,KKR won by 9 wickets (with 35 balls remaining)
2016,980905,Kings XI Punjab v Gujarat Lions,"3rd match (N), Indian Premier League at Mohali, Apr 11 2016",KXIP,GL,161/6,162/5,Guj Lions won by 5 wickets (with 14 balls remaining)
2016,980907,Royal Challengers Bangalore v Sunrisers Hyderabad,"4th match (N), Indian Premier League at Bengaluru, Apr 12 2016",RCB,SRH,227/4,182/6,RCB won by 45 runs
2016,980909,Kolkata Knight Riders v Mumbai Indians,"5th match (N), Indian Premier League at Kolkata, Apr 13 2016",KKR,MI,187/5,188/4,Mum Indians won by 6 wickets (with 5 balls remaining)
2016,980911,Gujarat Lions v Rising Pune Supergiants,"6th match (N), Indian Premier League at Rajkot, Apr 14 2016",GL,RPS,163/5,164/3,Guj Lions won by 7 wickets (with 12 balls remaining)
2016,980913,Delhi Daredevils v Kings XI Punjab,"7th match (N), Indian Premier League at Delhi, Apr 15 2016",DC,KXIP,111/9,113/2,Daredevils won by 8 wickets (with 39 balls remaining)
2016,980915,Sunrisers Hyderabad v Kolkata Knight Riders,"8th match (D/N), Indian Premier League at Hyderabad (Deccan), Apr 16 2016",SRH,KKR,142/7,146/2,KKR won by 8 wickets (with 10 balls remaining)
2016,980917,Mumbai Indians v Gujarat Lions,"9th match (N), Indian Premier League at Mumbai, Apr 16 2016",MI,GL,143/8,147/7,Guj Lions won by 3 wickets (with 0 balls remaining)
2016,980919,Kings XI Punjab v Rising Pune Supergiants,"10th match (D/N), Indian Premier League at Mohali, Apr 17 2016",KXIP,RPS,152/7,153/4,Kings XI won by 6 wickets (with 8 balls remaining)
2016,980921,Royal Challengers Bangalore v Delhi Daredevils,"11th match (N), Indian Premier League at Bengaluru, Apr 17 2016",RCB,DC,191/5,192/3,Daredevils won by 7 wickets (with 5 balls remaining)
2016,980923,Sunrisers Hyderabad v Mumbai Indians,"12th match (N), Indian Premier League at Hyderabad (Deccan), Apr 18 2016",SRH,MI,142/6,145/3,Sunrisers won by 7 wickets (with 15 balls remaining)
2016,980925,Kings XI Punjab v Kolkata Knight Riders,"13th match (N), Indian Premier League at Mohali, Apr 19 2016",KXIP,KKR,138/8,141/4,KKR won by 6 wickets (with 17 balls remaining)
2016,980927,Mumbai Indians v Royal Challengers Bangalore,"14th match (N), Indian Premier League at Mumbai, Apr 20 2016",MI,RCB,170/7,171/4,Mum Indians won by 6 wickets (with 12 balls remaining)
2016,980929,Gujarat Lions v Sunrisers Hyderabad,"15th match (N), Indian Premier League at Rajkot, Apr 21 2016",GL,SRH,135/8,137/0,Sunrisers won by 10 wickets (with 31 balls remaining)
2016,980931,Rising Pune Supergiants v Royal Challengers Bangalore,"16th match (N), Indian Premier League at Pune, Apr 22 2016",RPS,RCB,185/3,172/8,RCB won by 13 runs
2016,980933,Delhi Daredevils v Mumbai Indians,"17th match (D/N), Indian Premier League at Delhi, Apr 23 2016",DC,MI,164/4,154/7,Daredevils won by 10 runs
2016,980935,Sunrisers Hyderabad v Kings XI Punjab,"18th match (N), Indian Premier League at Hyderabad (Deccan), Apr 23 2016",SRH,KXIP,143/6,146/5,Sunrisers won by 5 wickets (with 13 balls remaining)
2016,980937,Gujarat Lions v Royal Challengers Bangalore,"19th match (D/N), Indian Premier League at Rajkot, Apr 24 2016",GL,RCB,180/2,182/4,Guj Lions won by 6 wickets (with 3 balls remaining)
2016,980939,Rising Pune Supergiants v Kolkata Knight Riders,"20th match (N), Indian Premier League at Pune, Apr 24 2016",RPS,KKR,160/5,162/8,KKR won by 2 wickets (with 3 balls remaining)
2016,980941,Kings XI Punjab v Mumbai Indians,"21st match (N), Indian Premier League at Mohali, Apr 25 2016",KXIP,MI,189/6,164/7,Mum Indians won by 25 runs
2016,980943,Sunrisers Hyderabad v Rising Pune Supergiants,"22nd match (N), Indian Premier League at Hyderabad (Deccan), Apr 26 2016",SRH,RPS,118/8,94/3,Supergiants won by 34 runs (D/L method)
2016,980945,Delhi Daredevils v Gujarat Lions,"23rd match (N), Indian Premier League at Delhi, Apr 27 2016",DC,GL,172/6,171/5,Guj Lions won by 1 run
2016,980947,Mumbai Indians v Kolkata Knight Riders,"24th match (N), Indian Premier League at Mumbai, Apr 28 2016",MI,KKR,174/5,178/4,Mum Indians won by 6 wickets (with 12 balls remaining)
